gbifID,language,license,rightsHolder,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,dataGeneralizations,dynamicProperties,occurrenceID,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,occurrenceStatus,eventDate,year,verbatimEventDate,waterBody,countryCode,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,verbatimCoordinateSystem,verbatimSRS,identifiedBy,taxonID,scientificNameID,gbifapi_acceptedScientificName,kingdom,taxonRank,vernacularName,taxonKey,gbifapi_acceptedKey
1760087054,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS428634213,obsr670787,1,NA,NA,NA,NA,2016-09-09T02:00:00Z,2016,NA,NA,BE,Mechelen - Mechls Broek,51.018992,4.515553,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1727568992,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS391067455,obsr564872,2,NA,NA,NA,NA,2016-04-13T02:00:00Z,2016,NA,NA,BE,Bruxelles - Parc d'Osseghem & Parc de Laeken,50.893018,4.34638,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1727576816,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS391074102,obsr445220,2,NA,NA,NA,NA,2016-04-10T02:00:00Z,2016,NA,NA,BE,Knokke - Het Zwin - Zwinvlakte,51.362242,3.353877,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1727579700,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS391068212,obsr564872,38,NA,NA,NA,NA,2016-04-13T02:00:00Z,2016,NA,NA,BE,Brussels - Square Clementine,50.885817,4.343537,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1727923605,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS391693111,obsr607120,5,NA,NA,NA,NA,2016-04-16T02:00:00Z,2016,NA,NA,BE,Oudergem - Rood-Klooster,50.815277,4.438831,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1728038241,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS391685069,obsr607120,1,NA,NA,NA,NA,2016-04-10T02:00:00Z,2016,NA,NA,BE,Grand-Bigard - park & chateau,50.873321,4.262545,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1728050332,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS391689015,obsr607120,3,NA,NA,NA,NA,2016-04-16T02:00:00Z,2016,NA,NA,BE,Boitsfort - Cottony Pond + Nature Reserve,50.79278,4.413779,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1711834258,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS368388272,obsr235798,2,NA,NA,NA,NA,2016-01-24T01:00:00Z,2016,NA,NA,BE,Rotem - Bichterweerd,51.052995,5.760655,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1711886300,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS368279961,obsr344577,12,NA,NA,NA,NA,2016-01-21T01:00:00Z,2016,NA,NA,BE,Oudergem - Rood-Klooster,50.815277,4.438831,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1764004096,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS432904426,obsr564872,4,NA,NA,NA,NA,2016-09-28T02:00:00Z,2016,NA,NA,BE,Woluwe - Woluwepark,50.830337,4.429915,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1764012208,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS432904573,obsr564872,86,NA,NA,NA,NA,2016-09-28T02:00:00Z,2016,NA,NA,BE,Etangs Mellaerts,50.827626,4.433498,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1764016041,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS432904649,obsr564872,2,NA,NA,NA,NA,2016-09-28T02:00:00Z,2016,NA,NA,BE,Parc des Sources,50.835216,4.435945,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1764017456,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS432904679,obsr564872,4,NA,NA,NA,NA,2016-09-28T02:00:00Z,2016,NA,NA,BE,Parc Malou,50.842153,4.439035,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1764513901,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS433291047,obsr607120,7,NA,NA,NA,NA,2016-10-01T02:00:00Z,2016,NA,NA,BE,Boitsfort - Cottony Pond + Nature Reserve,50.79278,4.413779,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1769622159,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS438856703,obsr294644,50,NA,NA,NA,NA,2016-10-27T02:00:00Z,2016,NA,NA,BE,Woluwe - Woluwepark,50.830337,4.429915,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1769661209,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS438877605,obsr743388,4,NA,NA,NA,NA,2016-10-27T02:00:00Z,2016,NA,NA,BE,Berchem - Paddebroek,50.786635,3.519412,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1769662786,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS438858411,obsr291193,50,NA,NA,NA,NA,2016-10-27T02:00:00Z,2016,NA,NA,BE,Woluwe - Woluwepark,50.830337,4.429915,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1769974872,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS439175491,obsr654024,2,NA,NA,NA,NA,2016-10-29T02:00:00Z,2016,NA,NA,BE,Bospolder,51.279233,4.39157,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1771015000,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS440325853,obsr288768,2,NA,NA,NA,NA,2016-10-22T02:00:00Z,2016,NA,NA,BE,Boitsfort - Cottony Pond + Nature Reserve,50.79278,4.413779,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1764979670,NA,CC0_1_0,NA,NA,CLO,EBIRD_AK,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD_AK:OBS433923201,obsr419305,2,NA,NA,NA,NA,2016-10-03T02:00:00Z,2016,NA,NA,BE,Dinant,50.258894,4.915116,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1766266606,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS435022113,obsr292736,50,NA,NA,NA,NA,2016-10-09T02:00:00Z,2016,NA,NA,BE,Mechelen - Mechls Broek,51.018992,4.515553,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
